crate_root,kind,target,alias,package,local_path,optional,git,rev
driver/adapters/embassy-net-compat,dependencies,,embassy-net-driver,embassy-net-driver,,false,,
driver/adapters/embassy-net-compat,dependencies,,embassy-sync,embassy-sync,,false,,
driver/adapters/embassy-net-compat,dependencies,,open-esp-radio-network,open-esp-radio-network,driver/common/network,false,,
driver/adapters/embassy-net-compat,dev-dependencies,,critical-section,critical-section,,false,,
driver/adapters/embassy-net,dependencies,,owned-embassy-net-driver,embassy-net-driver,,false,https://github.com/ermacv/embassy.git,244b4a3b80cb2f8a02f17b698f0ef4614e5fc01d
driver/adapters/embassy-net,dependencies,,embassy-sync,embassy-sync,,false,,
driver/adapters/embassy-net,dependencies,,open-esp-radio-network,open-esp-radio-network,driver/common/network,false,,
driver/adapters/embassy-net,dependencies,,open-esp-radio-wifi-datapath,open-esp-radio-wifi-datapath,driver/wifi/datapath,false,,
driver/adapters/embassy-net,dependencies,,xarxa-driver,xarxa-driver,,false,https://github.com/ermacv/xarxa.git,122e97146fc0a174ef3310f4526defc37663bed4
driver/adapters/embassy-net,dev-dependencies,,critical-section,critical-section,,false,,
driver/adapters/embassy-net,dev-dependencies,,owned-embassy-net,embassy-net,,false,https://github.com/ermacv/embassy.git,244b4a3b80cb2f8a02f17b698f0ef4614e5fc01d
driver/adapters/embassy/esp32s31-bluetooth,dependencies,,embassy-futures,embassy-futures,,false,,
driver/adapters/embassy/esp32s31-bluetooth,dependencies,,embassy-sync,embassy-sync,,false,,
driver/adapters/embassy/esp32s31-bluetooth,dependencies,,embassy-time,embassy-time,,false,,
driver/adapters/embassy/esp32s31-bluetooth,dependencies,,open-esp-radio-bluetooth-hci,open-esp-radio-bluetooth-hci,driver/bluetooth/hci,false,,
driver/adapters/embassy/esp32s31-bluetooth,dependencies,,open-esp-radio-bluetooth-ll,open-esp-radio-bluetooth-ll,driver/bluetooth/ll,false,,
driver/adapters/embassy/esp32s31-bluetooth,dependencies,,open-esp-radio-esp32s31-bluetooth,open-esp-radio-esp32s31-bluetooth,driver/chips/esp32s31/bluetooth,false,,
driver/adapters/embassy/esp32s31-bluetooth,dev-dependencies,,bt-hci,bt-hci,,false,,
driver/adapters/embassy/esp32s31-coex,dependencies,,embassy-sync,embassy-sync,,false,,
driver/adapters/embassy/esp32s31-coex,dependencies,,open-esp-radio-esp32s31-coex,open-esp-radio-esp32s31-coex,driver/chips/esp32s31/coex,false,,
driver/adapters/embassy/esp32s31-coex,dev-dependencies,,embassy-futures,embassy-futures,,false,,
driver/adapters/embassy/esp32s31-ieee802154,dependencies,,embassy-sync,embassy-sync,,false,,
driver/adapters/embassy/esp32s31-ieee802154,dependencies,,open-esp-radio-esp32s31-ieee802154-dma,open-esp-radio-esp32s31-ieee802154-dma,driver/chips/esp32s31/ieee802154/dma,false,,
driver/adapters/embassy/esp32s31-ieee802154,dependencies,,open-esp-radio-esp32s31-ieee802154-irq,open-esp-radio-esp32s31-ieee802154-irq,driver/chips/esp32s31/ieee802154/irq,false,,
driver/adapters/embassy/esp32s31-ieee802154,dependencies,,open-esp-radio-esp32s31-ieee802154-mac,open-esp-radio-esp32s31-ieee802154-mac,driver/chips/esp32s31/ieee802154/mac,false,,
driver/adapters/embassy/esp32s31-ieee802154,dependencies,,open-esp-radio-esp32s31-ieee802154-runtime,open-esp-radio-esp32s31-ieee802154-runtime,driver/chips/esp32s31/ieee802154/runtime,false,,
driver/adapters/embassy/esp32s31-ieee802154,dev-dependencies,,embassy-futures,embassy-futures,,false,,
driver/adapters/embassy/esp32s31-ieee802154,dev-dependencies,,open-esp-radio-esp32s31-ieee802154-irq,open-esp-radio-esp32s31-ieee802154-irq,driver/chips/esp32s31/ieee802154/irq,false,,
driver/adapters/embassy/esp32s31-ieee802154,dev-dependencies,,open-esp-radio-esp32s31-ieee802154-runtime,open-esp-radio-esp32s31-ieee802154-runtime,driver/chips/esp32s31/ieee802154/runtime,false,,
driver/adapters/embassy/esp32s31-platform,dependencies,,embassy-executor,embassy-executor,,true,,
driver/adapters/embassy/esp32s31-platform,dependencies,,embassy-time-driver,embassy-time-driver,,true,,
driver/adapters/embassy/esp32s31-platform,dependencies,,embassy-time-queue-utils,embassy-time-queue-utils,,true,,
driver/adapters/embassy/esp32s31-platform,dependencies,,esp-hal,esp-hal,,true,https://github.com/ermacv/esp-hal,81cd5c341f71f9d070b5d2b115d3ab2c7595a4df
driver/adapters/embassy/esp32s31-platform,dependencies,,esp-sync,esp-sync,,true,https://github.com/ermacv/esp-hal,81cd5c341f71f9d070b5d2b115d3ab2c7595a4df
driver/adapters/embassy/esp32s31-platform,dependencies,,portable-atomic,portable-atomic,,true,,
