owner_package,owner_manifest,kind,target,alias,package,local_manifest,version,git,rev,optional
open-esp-radio-esp32s31-access-point,examples/esp32s31-access-point/Cargo.toml,dependencies,,edge-dhcp,edge-dhcp,,0.8.0,,,False
open-esp-radio-esp32s31-access-point,examples/esp32s31-access-point/Cargo.toml,dependencies,,embassy-net,embassy-net,,,https://github.com/ermacv/embassy.git,244b4a3b80cb2f8a02f17b698f0ef4614e5fc01d,False
open-esp-radio-esp32s31-access-point,examples/esp32s31-access-point/Cargo.toml,dependencies,,embassy-time,embassy-time,,0.5.1,,,False
open-esp-radio-esp32s31-access-point,examples/esp32s31-access-point/Cargo.toml,dependencies,,static_cell,static_cell,,2.1.1,,,False
open-esp-radio-esp32s31-access-point,examples/esp32s31-access-point/Cargo.toml,dependencies,"cfg(target_arch = ""riscv32"")",embassy-executor,embassy-executor,,0.10.0,,,False
open-esp-radio-esp32s31-access-point,examples/esp32s31-access-point/Cargo.toml,dependencies,"cfg(target_arch = ""riscv32"")",embassy-futures,embassy-futures,,0.1.2,,,False
open-esp-radio-esp32s31-access-point,examples/esp32s31-access-point/Cargo.toml,dependencies,"cfg(target_arch = ""riscv32"")",esp-backtrace,esp-backtrace,,,https://github.com/ermacv/esp-hal,81cd5c341f71f9d070b5d2b115d3ab2c7595a4df,False
open-esp-radio-esp32s31-access-point,examples/esp32s31-access-point/Cargo.toml,dependencies,"cfg(target_arch = ""riscv32"")",esp-bootloader-esp-idf,esp-bootloader-esp-idf,,,https://github.com/ermacv/esp-hal,81cd5c341f71f9d070b5d2b115d3ab2c7595a4df,False
open-esp-radio-esp32s31-access-point,examples/esp32s31-access-point/Cargo.toml,dependencies,"cfg(target_arch = ""riscv32"")",esp-hal,esp-hal,,,https://github.com/ermacv/esp-hal,81cd5c341f71f9d070b5d2b115d3ab2c7595a4df,False
open-esp-radio-esp32s31-access-point,examples/esp32s31-access-point/Cargo.toml,dependencies,"cfg(target_arch = ""riscv32"")",esp-println,esp-println,,,https://github.com/ermacv/esp-hal,81cd5c341f71f9d070b5d2b115d3ab2c7595a4df,False
open-esp-radio-esp32s31-access-point,examples/esp32s31-access-point/Cargo.toml,dependencies,"cfg(target_arch = ""riscv32"")",open-esp-radio,open-esp-radio,driver/radio/Cargo.toml,,,,False
open-esp-radio-esp32s31-access-point,examples/esp32s31-access-point/Cargo.toml,dependencies,"cfg(target_arch = ""riscv32"")",open-esp-radio-esp32s31-embassy-runtime,open-esp-radio-esp32s31-embassy-runtime,driver/adapters/embassy/esp32s31/runtime/Cargo.toml,,,,False
open-esp-radio-esp32s31-access-point,examples/esp32s31-access-point/Cargo.toml,dependencies,"cfg(target_arch = ""riscv32"")",open-esp-radio-esp32s31-phy,open-esp-radio-esp32s31-phy,driver/chips/esp32s31/phy/Cargo.toml,,,,False
