path,bytes,lines,current_responsibility,file_kind,owning_manifest,package
examples/esp32s31-access-point/.cargo/config.toml,283,17,application example composition,configuration-or-data,examples/esp32s31-access-point/Cargo.toml,open-esp-radio-esp32s31-access-point
examples/esp32s31-access-point/Cargo.lock,59306,2356,application example composition,cargo,examples/esp32s31-access-point/Cargo.toml,open-esp-radio-esp32s31-access-point
examples/esp32s31-access-point/Cargo.toml,2372,45,application example composition,cargo,examples/esp32s31-access-point/Cargo.toml,open-esp-radio-esp32s31-access-point
examples/esp32s31-access-point/README.md,808,19,application example composition,documentation,examples/esp32s31-access-point/Cargo.toml,open-esp-radio-esp32s31-access-point
examples/esp32s31-access-point/src/dhcp.rs,2458,67,application example composition,rust,examples/esp32s31-access-point/Cargo.toml,open-esp-radio-esp32s31-access-point
examples/esp32s31-access-point/src/lib.rs,112,5,application example composition,rust,examples/esp32s31-access-point/Cargo.toml,open-esp-radio-esp32s31-access-point
examples/esp32s31-access-point/src/main.rs,7460,188,application example composition,rust,examples/esp32s31-access-point/Cargo.toml,open-esp-radio-esp32s31-access-point
examples/esp32s31-access-point/src/services.rs,2038,61,application example composition,rust,examples/esp32s31-access-point/Cargo.toml,open-esp-radio-esp32s31-access-point
examples/esp32s31-bluetooth-controller/.cargo/config.toml,283,17,application example composition,configuration-or-data,examples/esp32s31-bluetooth-controller/Cargo.toml,open-esp-radio-esp32s31-bluetooth-controller-example
examples/esp32s31-bluetooth-controller/Cargo.lock,52207,2054,application example composition,cargo,examples/esp32s31-bluetooth-controller/Cargo.toml,open-esp-radio-esp32s31-bluetooth-controller-example
examples/esp32s31-bluetooth-controller/Cargo.toml,2345,48,application example composition,cargo,examples/esp32s31-bluetooth-controller/Cargo.toml,open-esp-radio-esp32s31-bluetooth-controller-example
examples/esp32s31-bluetooth-controller/README.md,3411,72,application example composition,documentation,examples/esp32s31-bluetooth-controller/Cargo.toml,open-esp-radio-esp32s31-bluetooth-controller-example
examples/esp32s31-bluetooth-controller/src/main.rs,12313,301,application example composition,rust,examples/esp32s31-bluetooth-controller/Cargo.toml,open-esp-radio-esp32s31-bluetooth-controller-example
examples/esp32s31-monitor/.cargo/config.toml,283,17,application example composition,configuration-or-data,examples/esp32s31-monitor/Cargo.toml,open-esp-radio-esp32s31-monitor
examples/esp32s31-monitor/Cargo.lock,58277,2314,application example composition,cargo,examples/esp32s31-monitor/Cargo.toml,open-esp-radio-esp32s31-monitor
examples/esp32s31-monitor/Cargo.toml,2056,40,application example composition,cargo,examples/esp32s31-monitor/Cargo.toml,open-esp-radio-esp32s31-monitor
examples/esp32s31-monitor/README.md,881,21,application example composition,documentation,examples/esp32s31-monitor/Cargo.toml,open-esp-radio-esp32s31-monitor
examples/esp32s31-monitor/src/main.rs,5125,131,application example composition,rust,examples/esp32s31-monitor/Cargo.toml,open-esp-radio-esp32s31-monitor
examples/esp32s31-station/.cargo/config.toml,283,17,application example composition,configuration-or-data,examples/esp32s31-station/Cargo.toml,open-esp-radio-esp32s31-station
examples/esp32s31-station/Cargo.lock,60168,2376,application example composition,cargo,examples/esp32s31-station/Cargo.toml,open-esp-radio-esp32s31-station
examples/esp32s31-station/Cargo.toml,2670,53,application example composition,cargo,examples/esp32s31-station/Cargo.toml,open-esp-radio-esp32s31-station
examples/esp32s31-station/README.md,2834,61,application example composition,documentation,examples/esp32s31-station/Cargo.toml,open-esp-radio-esp32s31-station
examples/esp32s31-station/src/main.rs,7874,197,application example composition,rust,examples/esp32s31-station/Cargo.toml,open-esp-radio-esp32s31-station
hil/README.md,4427,91,HIL entry documentation and public lab template,documentation,,
hil/host/README.md,8660,156,HIL entry documentation and public lab template,documentation,,
hil/host/linux-net/hostapd-he20.conf,313,17,privileged fixture,configuration-or-data,,
hil/host/linux-net/hostapd-ht40.conf,318,16,privileged fixture,configuration-or-data,,
hil/host/linux-net/install.sh,3172,64,privileged fixture,script,,
hil/host/linux-net/open-radio-net,13017,343,privileged fixture,script,,
