package,manifest,workspace_manifest,current_responsibility
blobray,tools/blobray/Cargo.toml,Cargo.toml,generic binary analysis engine and its contracts
blobray-esp32s31,verification/vendor/targets/esp32s31/blobray-host/Cargo.toml,Cargo.toml,chip project CLI composition
open-esp-radio-esp32s31-access-point,examples/esp32s31-access-point/Cargo.toml,examples/esp32s31-access-point/Cargo.toml,application example composition
open-esp-radio-esp32s31-bluetooth-controller-example,examples/esp32s31-bluetooth-controller/Cargo.toml,examples/esp32s31-bluetooth-controller/Cargo.toml,application example composition
open-esp-radio-esp32s31-monitor,examples/esp32s31-monitor/Cargo.toml,examples/esp32s31-monitor/Cargo.toml,application example composition
open-esp-radio-esp32s31-station,examples/esp32s31-station/Cargo.toml,examples/esp32s31-station/Cargo.toml,application example composition
open-esp-radio-hil-esp32s31-board,hil/targets/esp32s31/board/Cargo.toml,hil/targets/esp32s31/Cargo.toml,embedded HIL composition
open-esp-radio-hil-esp32s31-bootstrap,hil/targets/esp32s31/bootstrap/Cargo.toml,hil/targets/esp32s31/Cargo.toml,embedded HIL composition
open-esp-radio-hil-esp32s31-runtime,hil/targets/esp32s31/runtime/Cargo.toml,hil/targets/esp32s31/Cargo.toml,embedded HIL composition
open-esp-radio-hil-esp32s31-telemetry,hil/targets/esp32s31/telemetry/Cargo.toml,hil/targets/esp32s31/Cargo.toml,embedded HIL composition
open-esp-radio-hil-protocol,hil/protocol/Cargo.toml,Cargo.toml,host/target wire contract
open-esp-radio-hil-runner,hil/host/runner/Cargo.toml,Cargo.toml,HIL execution and evidence producer
open-esp-radio-memory-report,tools/memory-report/Cargo.toml,Cargo.toml,generic ELF memory analysis
open-esp-radio-qualification-check,tools/qualification-check/Cargo.toml,Cargo.toml,readiness evaluator
open-esp-radio-register-model,tools/blobray/crates/register-model/Cargo.toml,Cargo.toml,generic binary analysis engine and its contracts
open-esp-radio-verification-esp32s31-bluetooth-probes,verification/vendor/targets/esp32s31/probes/bluetooth-library/Cargo.toml,verification/vendor/targets/esp32s31/probes/Cargo.toml,compiled production comparison probes
open-esp-radio-verification-esp32s31-bluetooth-probes-elf,verification/vendor/targets/esp32s31/probes/bluetooth-elf/Cargo.toml,verification/vendor/targets/esp32s31/probes/Cargo.toml,compiled production comparison probes
open-esp-radio-verification-esp32s31-probes,verification/vendor/targets/esp32s31/probes/library/Cargo.toml,verification/vendor/targets/esp32s31/probes/Cargo.toml,compiled production comparison probes
open-esp-radio-verification-esp32s31-probes-elf,verification/vendor/targets/esp32s31/probes/elf/Cargo.toml,verification/vendor/targets/esp32s31/probes/Cargo.toml,compiled production comparison probes
open-esp-radio-verification-esp32s31-register-probes,verification/vendor/targets/esp32s31/probes/register-library/Cargo.toml,verification/vendor/targets/esp32s31/probes/Cargo.toml,compiled production comparison probes
open-esp-radio-verification-esp32s31-register-probes-elf,verification/vendor/targets/esp32s31/probes/register-elf/Cargo.toml,verification/vendor/targets/esp32s31/probes/Cargo.toml,compiled production comparison probes
open-radio-vendor-addon-c,tools/blobray/addons/c/Cargo.toml,Cargo.toml,generic binary analysis engine and its contracts
open-radio-vendor-addon-esp-idf,tools/blobray/addons/esp-idf/Cargo.toml,Cargo.toml,generic binary analysis engine and its contracts
open-radio-vendor-analysis-model,tools/blobray/crates/analysis-model/Cargo.toml,Cargo.toml,generic binary analysis engine and its contracts
open-radio-vendor-backend-riscv,tools/blobray/crates/backend-riscv/Cargo.toml,Cargo.toml,generic binary analysis engine and its contracts
open-radio-vendor-chip-contracts-esp32s31-rev0,verification/vendor/chips/esp32s31/blobray-provider/contracts/Cargo.toml,Cargo.toml,reusable chip facts and provider
open-radio-vendor-chip-knowledge-esp32s31-rev0,verification/vendor/chips/esp32s31/blobray-provider/knowledge/Cargo.toml,Cargo.toml,reusable chip facts and provider
open-radio-vendor-chip-models-esp32s31-rev0,verification/vendor/chips/esp32s31/blobray-provider/models/Cargo.toml,Cargo.toml,reusable chip facts and provider
open-radio-vendor-contracts,tools/blobray/crates/contracts/Cargo.toml,Cargo.toml,generic binary analysis engine and its contracts
open-radio-vendor-execution-model,tools/blobray/crates/execution-model/Cargo.toml,Cargo.toml,generic binary analysis engine and its contracts
open-radio-vendor-harness-esp32s31,verification/vendor/targets/esp32s31/blobray-provider/contracts/Cargo.toml,Cargo.toml,investigation-specific compiled provider
open-radio-vendor-knowledge-esp32s31,verification/vendor/targets/esp32s31/blobray-provider/knowledge/Cargo.toml,Cargo.toml,investigation-specific compiled provider
open-radio-vendor-models-esp32s31,verification/vendor/targets/esp32s31/blobray-provider/models/Cargo.toml,Cargo.toml,investigation-specific compiled provider
open-radio-vendor-review,tools/blobray/crates/review-model/Cargo.toml,Cargo.toml,generic binary analysis engine and its contracts
open-radio-vendor-semantics,tools/blobray/crates/semantics/Cargo.toml,Cargo.toml,generic binary analysis engine and its contracts
